Name,Platform
Warriors Orochi 3,PSP
Space Invaders,GBA
Viewtiful Joe: Double Trouble!,DS
Petz Fashion: Dogz & Catz,DS
Kuroko's Basketball: Miracle Game,PSP
Jikkyou Powerful Pro Yakyuu 13 Ketteiban,PS2
Yuusha no Kuse ni Namaikida Or 3D,PSP
Project: Horned Owl,PS
Mobile Suit Gundam Age: Universe Accel / Cosmic Drive,PSP
Dragon Ball Z Super Gokuden: Kakusei-Hen,SNES
Busou Shinki: Battle Masters Mk. 2,PSP
Skylanders Imaginators,PS3
Fate/Extella: The Umbral Star,PS4
Fairy Tail: Portable Guild,PSP
Big League Sports: Summer,DS
Brunswick Circuit Pro Bowling 2,PS
D,PS
Rock Revolution,DS
Ennichi no Tatsujin,Wii
Wizardry VI: Bane of the Cosmic Forge,SNES
Power Pocket Koushien,DS
Pro Yaky? Spirits 2010,PS2
Taiko no Tatsujin: V Version,PSV
Derby Stallion P,PSP
Kamen Rider: Battride War II,PS3
Kenka Bancho Bros: Tokyo Battle Royale,PSP
Kirarin * Revolution: Tsukutte Misechao! Kime * Kira Stage,DS
My First Dollhouse,DS
Dreamer Series: Top Model,DS
Science Papa,DS
American Girl: Julie Finds a Way,DS
Taiko no Tatsujin: Don Don! Mystery Adventure,3DS
Jikkyou Powerful Pro Yakyuu 10,GC
Ski-Doo Snowmobile Challenge,PS3
Cabela's Outdoor Adventures,XB
Fatal Frame 2: Wii Edition,Wii
World Series of Poker: Tournament of Champions 2007 Edition,PSP
Motocross Mania 3,PS2
Pro Yakyuu Famista DS 2009,DS
Digimon Story: Lost Evolution,DS
Despicable Me: The Game,PS2
Etrian Odyssey II: Heroes of Lagaard,3DS
The Bachelor: The Videogame,Wii
Imagine: Soccer Captain,DS
Mickey's Speedway USA (weekly JP sales),N64
Brain Quest: Grades 5 & 6,DS
Who Wants to Be a Millionaire: 3rd Edition,Wii
Boku no Natsuyasumi Portable: Mushi Mushi Hakase to Teppen-yama no Himitsu!!,PSP
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,DS
Power Rangers: Super Legends,DS
Macross 30: Ginga o Tsunagu Utagoe,PS3
Kidou Senshi Gundam UC,PS3
Corvette Evolution GT,DS
Momotarou Dentetsu 16,Wii
Family Fun Football,Wii
Atsumare! Power Pro Kun no DS Koushien,DS
Revolution X,PS
Little Battlers eXperience W,3DS
Top Gun: Combat Zones,GBA
Dungeon Travelers 2: The Royal Library & The Monster Seal,PSV
"Sesame Street: Ready, Set, Grover!",Wii
Doko Demo Issho,PSP
Barbie in The 12 Dancing Princesses,DS
Gem Quest: 4 Elements,DS
Beyond Good & Evil,XB
Just In Time Translations,DS
Gouketuji Ichizoku 2: Chottodake Saikyou Densetsu,PS
Vandal Hearts II,PS
Samurai Warriors Chronicles 2nd,3DS
Toaru Majutsu no Index,PSP
Uta no Prince-Sama: Music,PSP
Culdcept DS,DS
How to Train Your Dragon 2,PS3
Yu-Gi-Oh! 5D's Wheelie Breakers,Wii
The King of Fighters: Dream Match 1999,DC
Weiss Schwarz Portable,PSP
Dora's Big Birthday Adventure,Wii
Kirarin * Revolution: Mezase! Idol Queen,DS
Dungeons & Dragons Tactics,PSP
X-Men: Children of the Atom,PS
America's Next Top Model,DS
Math Blaster in the Prime Adventure,DS
Blue Stinger,DC
Shellshock,PS
Inazuma Eleven GO Strikers 2013,Wii
Metal Gear Solid HD Edition,PS3
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Ossu! Banchou - Yoshimune DS,DS
Urban Chaos,PS
Alvin and the Chipmunks: Chipwrecked,DS
Creeper World 3: Arc Eternal,Wii
DS Kageyama Method: Dennou Hanpuku - Tadashii Kanji Kakitori-Kun,DS
PDC World Championship Darts: Pro Tour,PS3
Heavy Fire: Afghanistan,Wii
Football Manager 2014,PSV
Penguin no Mondai: The World,DS
Flushed Away,DS
Hakuouki Portable,PSP
Monkey Island: Special Edition Collection,PS3
Cabela's Adventure Camp,X360
Digimon Adventure,PSP
Backyard Baseball '10,Wii
Football Director DS,DS
Project Hacker: Kakusei,DS
SimAnimals Africa,DS
Guitar Hero: Van Halen,PS2
Olympic Summer Games: Atlanta 1996,PS
Disney's The Haunted Mansion,GC
Tatsunoko vs. Capcom: Cross Generation of Heroes,Wii
Alvin and the Chipmunks: Chipwrecked,X360
Water Sports,Wii
KORG DS-10 Synthesizer Plus,DS
Darius Gaiden,SAT
All Kamen Rider: Rider Generation 2,DS
Fallout 3 Game Add-On Pack: The Pitt and Operation: Anchorage,X360
3D Tank Warfare Simulator Panzer Front,PS
Lord of Apocalypse,PSV
Igor: The Game,Wii
Kabushiki Baibai Trainer: Kabutore!,DS
Dancing on Ice,Wii
The Destiny of Zorro,Wii
Sword & Sorcery,SAT
Record of Agarest War Zero,X360
HOP,DS
USA Today Puzzle Craze,DS
Machi-Ing Maker 3 x Tousouchuu,PSP
Truth or Lies,Wii
My Healthy Cooking Coach,DS
SNK vs. Capcom: SVC Chaos,XB
Choujikuu Yousai Macross: Ai Oboete Imasu ka,SAT
Thief (2014),PC
Dragonseeds,PS
Nodame Cantabile,DS
The History Channel: Civil War - Secret Missions,PS3
World Snooker Championship 2007,PS3
L'Aigle de Guerre,GBA
Earth Defense Force 2025.1: The Shadow of New Despair,PS4
Lode Runner 3-D,N64
Indy Racing 2000,N64
GT64 Championship Edition,N64
Milo's Astro Lanes,N64
Jeopardy!,N64
Disney's Donald Duck: Goin' Quackers,N64
Aidyn Chronicles: The First Mage,N64
Virtual Pool 64,N64
Flying Dragon,N64
International Superstar Soccer 64 (weekly JP sales),N64
Gekido,PS
Sword Art Online: Lost Song,PS3
Puss in Boots,DS
Murdered: Soul Suspect,X360
Army Men World War: Team Assault,PS
Marvel vs. Capcom: Clash of Super Heroes,DC
LEGO Rock Raiders,PS
Ghost in the Shell,PS
Monkey Mischief! Party Time,Wii
Evil Dead: Fistfull of Boomstick,XB
Tom Clancy's Classic Trilogy,XB
Harvest Moon DS Cute (jp sales),DS
Bleach: Dark Souls (JP sales),DS
Kiku! Kaku! Kotoba o Fuyasu! Hajimete no Eigo Training,DS
Generator Rex: Agent of Providence,3DS
Cabela's North American Adventures,PSP
Crime Crackers,PS
SCORE International Baja 1000: The Official Game,Wii
Micro Machines V3,PS
"Warhammer 40,000: Dawn of War II - Chaos Rising",PC
"Sakura Wars 2: Kimi, Shinitamou koto Nakare",DC
Happy Feet Two,DS
Idol Janshi Suchie-Pai Remix,SAT
NBA 2K16,PC
Exhibition Volume 03,XB
Fate/hollow ataraxia,PSV
Zero4 Champ RR-Z,SNES
Initial D: Street Stage,PSP
Tales of Innocence R,PSV
Nicktoons: MLB,DS
Lucky * Star: Ryouou Gakuen Outousai,PS2
Start the Party! Save the World,PS3
Big League Sports,Wii
Naruto Shippuden: Gekito Ninja Taisen! EX,Wii
Nihon Keizai Shinbunsha Kanshuu: Shiranai Mamade wa Son o Suru Mono ya Okane no Shikumi DS,DS
Piglet's Big Game,PS2
Real Bout Garou Densetsu,SAT
"Prinny 2: Dawn of Operation Panties, Dood!",PSP
Project FIFA World Cup,PS2
Lord of Apocalypse,PSP
Dora & Kai-Lan's Pet Shelter,DS
Famicom Mini: Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zenkouhen,GBA
Nancy Drew: The Model Mysteries,DS
Higurashi no Nakukoru ni Kizuna: Dai-Ni-Kan - Sou,DS
Fifi and the Flowertots,DS
The Land Before Time: Great Valley Racing Adventure,PS
System Flaw,DS
The Walking Dead: Season Two,X360
Pajama Sam: Don't Fear The Dark,Wii
The Walking Dead: Season Two,PSV
Blast Chamber,PS
Championship Pony,DS
NASCAR Unleashed,PS3
Code:Realize - Sousei no Himegimi,PSV
Disney Sing It! High School Musical 3: Senior Year,X360
Option Tuning Car Battle,PS
Ridge Racer 2,PSP
Pro Evolution Soccer 2016,X360
Derby Jockey 2,SNES
Famicom Mini: Mappy,GBA
Ben 10 Galactic Racing,X360
Descent Maximum,PS
King of Clubs: Mini Golf,Wii
Angry Birds Star Wars,WiiU
Petz Hamsterz Superstarz,DS
Virtual Pro Wrestling,PS
Rapala Pro Bass Fishing 2010,DS
Shadow Tower,PS
Luminous Arc 2 (JP sales),DS
CSI: Hard Evidence,X360
Horse Life Adventures,DS
The Idolmaster: Platinum Stars,PS4
Jikkyou Powerful Pro Yakyuu 2013,PSV
Shadow Master,PS
Makai Shin Trillion,PSV
Tokimeki Memorial: Taisen Pazurudama,PS
Digimon World: Next Order,PSV
Who Wants to Be A Millionaire?,X360
The Secret Saturdays: Beasts of the 5th Sun,PSP
Skylanders: Spyro's Adventure,PC
Man vs. Wild,X360
Ciel Nosurge: Ushinawareta Hoshi e Sasagu Uta,PSV
Watchmen: The End is Nigh Part 1 & 2,X360
Pro Yakyuu Famista DS,DS
Happy Feet Two,X360
iCarly 2: iJoin The Click!,Wii
Ultimate Muscle - The Kinnikuman Legacy: The Path of the Superhero,GBA
Gundam Breaker 3,PS4
Etrian Odyssey 2 Untold: Knight of Fafnir,3DS
Paws & Claws: Pet Vet,Wii
Dora's Cooking Club,DS
Sol Trigger,PSP
Ballistic: Ecks vs. Sever,GBA
Jikkyou Powerful Pro Yakyuu 11,GC
Street Fighter Collection,PS
Alvin and the Chipmunks: The Squeakquel,Wii
Digimon Story: Super Xros Wars Blue/Red,DS
Tennis no Oji-Sama: Motto Gakuensai no Ouji-Sama - More Sweet Edition,DS
MX SuperFly featuring Ricky Carmichael,XB
Gokuhou!! Mecha Mote Iinchou: MM Town de Miracle Change!,DS
Kuroko's Basketball: Miracle Game,3DS
Lego Star Wars: The Force Awakens,PSV
The Voice,WiiU
Gundam Breaker,PSV
Unou no Tatsujin: Soukai! Machigai Museum 2,DS
Kiniro no Corda 3,PSP
Neo Atlas,PS
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,GC
Squinkies 2: Adventure Mall Surprize!,DS
Winning Post 6,PS2
Egg Monster Hero,DS
Whacked!,XB
thinkSMART,DS
National Geographic Challenge!,Wii
Just Dance 2017,WiiU
NatGeo Challenge! Wild Life,PS3
Metal Fight Beyblade,DS
Kung Fu Panda 2,PS3
Field & Stream: Total Outdoorsman Challenge,X360
Disney Planes Fire & Rescue,3DS
Langrisser V: The End of Legend,SAT
PhotoKano,PSP
Ouchi Mainichi Tamagotchi,3DS
Fresh PreCure! Asobi Collection,DS
Super Robot Wars OG: The Moon Dwellers,PS4
Populous: The Beginning,PS
Chess,PS
Rosco McQueen: Firefighter Extreme,PS
Terranigma,SNES
Johnny Bravo in The Hukka-Mega-Mighty-Ultra-Extreme Date-O-Rama,DS
Girls und Panzer: I Will Master Tankery,PSV
Blitz: Overtime,PSP
Young Justice: Legacy,PS3
Ys VIII: Lacrimosa of Dana,PSV
Devil May Cry 4,PS4
X-COM: UFO Defense,PS
Adventure Time: Finn & Jake Investigations,PS4
World Cup '98 France: Road to Win,SAT
Pro Evolution Soccer 2013,Wii
Barbie and the Magic of Pegasus,GBA
Big League Sports: Summer,Wii
SD Gundam G Generation DS,DS
Retro Game Challenge (US sales),DS
Bleach: Heat the Soul,PSP
MegaTagmension Blanc + Neptune VS Zombies,PSV
SingStar Guitar,PS3
World Stadium 5,PS
The Smurfs 2,Wii
Angry Birds: Rio,PC
Championship Foosball,Wii
Backyard Sports: Sandlot Sluggers,X360
Uta no Prince-Sama: Debut,PSP
Galactic Taz Ball,DS
Virtua Fighter CG Portrait Series Vol.3: Akira Yuki,SAT
PAC-MAN and the Ghostly Adventures,3DS
Dora the Explorer: Dora Saves the Crystal Kingdom,PS2
Shockwave Assault,PS
Minecraft: Story Mode,PC
Pro Yakyuu Greatest Nine 98,SAT
Learn Chess,DS
Bogey: Dead 6,PS
Scooby-Doo! Who's Watching Who?,DS
Hakuouki: Zuisouroku Portable,PSP
Imagine: Reporter,DS
Puyo Pop Fever (JP sales),DS
Dragon Ball Kai: Ultimate Butouden,DS
Yu-Gi-Oh! GX: The Beginning of Destiny (US sales),PS2
Shin Megami Tensei,PS
Major League Baseball 2K12,PSP
Let's Ride! Silver Buckle Stables,PS2
The Story of Noah's Ark,DS
Cabela's Big Game Hunter,GBA
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PS2
Dragon Tales: Dragon Seek,PS
Yourself Fitness,XB
Ghostbusters: The Video Game (DS Version),PC
Dance on Broadway,PS3
Resident Evil Chronicles HD,PS3
Return Fire,PS
Mind Quiz,PSP
MXGP 2,PS4
Hyperdimension Idol Neptunia PP,PSV
Rapid Reload,PS
Alien Monster Bowling League,Wii
Agassi Tennis Generation,PS2
I Love Puppies,DS
Running Wild,PS
Brigandine: The Legend of Forsena,PS
MX SuperFly featuring Ricky Carmichael,GC
Disney's The Haunted Mansion,XB
Sound Novel Machi,SAT
FIFA 2001: Major League Soccer,PS2
The Daring Game for Girls,Wii
Alvin and the Chipmunks: Chipwrecked,Wii
Jikkyou Powerful Pro Yakyuu 14 Ketteiban,PS2
Demon Chaos,PS2
U-Sing  2,Wii
Monopoly Collection,Wii
Blood of Bahamut,DS
Quiz Magic Academy DS: Futatsu no Jikuu Koku,DS
Lilie no Atelier: Salburg no Renkinjutsushi 3,PS2
Animal Planet: Vet Life,Wii
Top Gun: Firestorm Advance,GBA
Singstar: Ultimate Party,PS3
Sonic Boom: Fire & Ice,3DS
Samurai Shodown Anthology,PSP
NERF N-Strike: Double Blast Bundle,Wii
Kawasaki Quad Bikes,Wii
Dead or Alive 5,PSV
Bass Pro Shops: The Hunt,X360
Seven: Molmorth no Kiheitai,PS2
Doraemon: Nobita to Midori no Kyojinden DS,DS
Major League Baseball 2K11,DS
Hello Kitty's Cube Frenzy,PS
Jikkyou Powerful Pro Yakyuu 9 Ketteiban,PS2
The Smurfs 2,PS3
Karaoke Joysound Wii Super DX: Hitori de Minna de Utai Houdai!,Wii
Import Tuner Challenge (American sales),X360
Cardfight!! Vanguard: Ride to Victory,3DS
Jikkyou Powerful Pro Yakyuu Portable 2,PSP
Carnival Games: Wild West 3D,3DS
Kawashima Ryuuta Kyouju Kanshuu Nouryoku Trainer Portable 2,PSP
Chameleon,PSP
The Wolf Among Us,PS3
Ochaken no Heya DS 2,DS
Ratchet & Clank Future: Quest for Booty,PS3
Golden Nugget 64,N64
Robotron 64,N64
The X-Factor,X360
Batman Beyond: Return of the Joker,N64
Castlevania Dracula X,SNES
V-Rally Edition 99,N64
Saikyou Habu Shogi,N64
Go Play: City Sports,Wii
Naruto RPG 3: Rejiuu vs Konoha Shoutai,DS
Rugby 15,PS3
Tunnel B1,PS
2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA
Porsche Challenge,PS
Dragon Ball Z: Shin Butouden,SAT
Ben 10 Galactic Racing,PS3
Super Robot Taisen MX Portable,PSP
Champion Jockey: G1 Jockey & Gallop Racer,Wii
Detana TwinBee Yahho! Deluxe Pack,PS
Truth or Lies,PS3
Shin Ken to Mah? to Gakuenmono. Toki no Gakuen,PSP
Uta no Prince-Sama: Music 2,PSP
Skylanders Imaginators,X360
Star Wars: Empire at War - Gold Pack,PC
SpongeBob: HeroPants,X360
"Saiyuuki: Kinkaku, Ginkaku no Inbou",DS
Bleach: Heat the Soul 6,PSP
Mugen Keitai Disgaea,PS2
Scrabble,PSP
Space Chimps,Wii
Action Man-Operation Extreme,PS
Fishing Master World Tour,Wii
Pachitte Chonmage Tatsujin 10: Pachinko Fuyu no Sonata,PS2
Black & White 2,PC
Captain Tsubasa: Aratanaru Densetsu Joshou,PS
Blood: The Last Vampire (Joukan),PS2
World Championship Games: A Track & Field Event,DS
Clockwork Knight,SAT
Pro Yaky? Spirits 2014,PSP
Sidewinder Max,PS2
Kenka Banchou 2: Full Throttle,PS2
Karaoke Revolution Presents American Idol Encore 2,X360
Momu-chan Diet Wii: Figurobics by Chon Dayon,Wii
Monster Jam: Path of Destruction,PSP
Atelier Totori: The Adventurer of Arland,PSV
No More Heroes: Red Zone,PS3
Playmobil Circus,Wii
Fate/Extella: The Umbral Star,PSV
Battle Stadium D.O.N,GC
Family GameShow,Wii
Karaoke Revolution Presents American Idol Encore,PS3
Dora's Big Birthday Adventure,DS
Crayon Shin-Chan Shokkugan! Densetsu o Yobu Omake Daiketsusen!!,DS
Kurikin: Nano Island Story,DS
Might & Magic Heroes VII,PC
Naruto Shippuden: Gekito Ninja Taisen! EX 2,Wii
Rock Band Country Track Pack 2,Wii
Lethal Enforcers,SNES
Romance of the Three Kingdoms XII,PS3
Scooby-Doo! Unmasked,DS
MLB Superstars,Wii
Adventure Time: Finn & Jake Investigations,PS3
Challenge Me: Brain Puzzles 2,DS
Remington Super Slam Hunting: Alaska,Wii
Reading Training,DS
Crysis: Maximum Edition,PC
Cake Mania: Main Street,DS
Jikkyou Powerful Pro Yakyuu 2012,PSV
Roary the Racing Car,DS
Harvest Moon: Boy & Girl,PSP
Dreamer Series: Teacher,DS
Pillow Pets,DS
Sengoku Basara 4: Sumeragi,PS3
Shrek Smash n' Crash Racing,PSP
Jambo! Safari Animal Rescue,Wii
WRC 5: FIA World Rally Championship,PS3
Petz: Saddle Club,PSP
Digimon World Re:Digitize Decode,3DS
MLB 2K9 Fantasy All-Stars,DS
Sotsugyou Crossworld,PS
The Amazing Spider-Man (Console Version),WiiU
Ys I & II Chronicles,PSP
Bionicle,GBA
Bleach GC: Tasogare Ni Mamieru Shinigami,GC
Chou Jigen Game Neptune Mk-II,PS3
Jikkyou Powerful Pro Yakyuu 2000 Ketteiban,PS
Derby Stallion,SAT
Dead or Alive 5,XOne
Karaoke Joysound Wii DX,Wii
Sloane to MacHale no Nazo no Monogatari 2,DS
Game Hits!,DS
Tabi no Yubisashi Kaiwachou DS: DS Series 4 America,DS
Invasion From Beyond,PS
Dynasty Warriors 8: Empires,PS3
Batman: A Telltale Game Series,PS4
Mahjong Master,N64
Crash Boom Bang!,DS
Royal Palace of White Sword and The City of Gentiles,XB
L: the proLogue to DEATH NOTE - Rasen no Wana,DS
Famicom Mini: Makaimura,GBA
The Witch and the Hundred Knight,PS4
Kuroko's Basketball: Ties to Future,3DS
Ski and Shoot,Wii
Theme Hospital,PS
Inazuma Eleven 3,3DS
Just Dance Wii U,WiiU
ChuChu Rocket!,GBA
FIFA 12,PS2
Codename Tenka,PS
Sega Bass Fishing,DC
Walt Disney's The Jungle Book: Rhythm N'Groove,PS
Assassin's Creed Chronicles,PS4
Million God,PS2
Cyberia,PS
Busy Scissors,Wii
Lost Heroes,3DS
RollerCoaster Tycoon 3: Platinum,PC
SD Gundam G Generation Genesis,PSV
Wing Commander IV: The Price of Freedom,PS
Mystery Stories: Curse of the Ancient Spirits,DS
Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs. The Soulless Army,PS2
Bomberman Land Touch!,DS
Monster Jam: Urban Assault,PSP
My Make-Up,DS
50 Cent: Bulletproof,PSP
Princess Maker 2,SAT
SRS: Street Racing Syndicate,GC
Winter Sports 2: The Next Challenge,PS2
Destroy All Humans! Path of the Furon,PS3
Major League Baseball 2K9,PSP
Aibou DS,DS
Great Party Games,Wii
Tokimeki Memorial: Taisen Pazurudama,SAT
Beat Sketch!,PS3
Bleach: Heat the Soul 5,PSP
Koudelka,PS
Animal Planet: Emergency Vets,DS
IHRA Drag Racing: Sportsman Edition,PS2
Virtua Fighter CG Portrait Series Vol.2: Jacky Bryant,SAT
Famicom Mini: Famicom Mukashi Banashi - Shin Oniga Shima Zenkouhen,GBA
Ski-Doo Snowmobile Challenge,Wii
Adventure Time: Finn & Jake Investigations,3DS
Toukiden 2,PS4
My Stop Smoking Coach: Allen Carr's EasyWay,DS
SD Gundam G Generation Genesis,PS4
Pachitte Chonmage Tatsujin 13: Pachinko Hissatsu Shigotojin III,PS2
Wreckin Crew,PS
Theme Park,SAT
Famicom Mini: Mario Bros.,GBA
RockMan EXE 4.5 Real Operation,GBA
Rescue Heroes: Billy Blazes,GBA
Jaws: Ultimate Predator,Wii
Are You Smarter Than a 5th Grader? Back to School,DS
SingStar: Made In Germany,PS3
Derby Tsuku: Derby Uma o Tsukurou!,DC
Frantix,PSP
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,GBA
Konami Classics Vol. 1,X360
Princess Isabella: A Witch's Curse,DS
S.C.A.R.S,PS
The King of Fighters '98: Dream Match Never Ends,PS
The Seven Deadly Sins: Unjust Sin,3DS
Zoids: Legacy,GBA
Kidou Senshi Gundam 00,DS
Pac-Man Power Pack,PS2
Charm Girls Club: My Fashion Show,DS
Angry Birds Star Wars,PSV
Armorines: Project S.W.A.R.M.,PS
Gundam Seed: Battle Assault,GBA
Chibi Maruko-Chan: Harikiri 365-Nichi no Maki,SNES
The Voice,X360
SaGa 3: Jikuu no Hasha - Shadow or Light,DS
Thomas & Friends: Hero of the Rails,DS
Wonder World Amusement Park,DS
Famicom Mini: Adventure Island,GBA
Tokimeki Memorial: Girl's Side,PS2
Edna & Harvey: Harvey's New Eyes,PC
Orega Kantoku Da! Gekitou Pennant Race,PS2
Guilty Gear XX Accent Core Plus,PSP
Jikkyou Powerful Pro Yakyuu 12,GC
Mortal Kombat Kollection,PS2
Blades of Blood: Samurai Shodown III,PS
MotoGP 14,X360
Gundam the 3D Battle,3DS
Face Racers: Photo Finish,3DS
Godzilla Generations,DC
Forbidden Siren 2,PS2
Board Game Classics,GBA
Midnight Play! Pack,DS
Junior Mystery Quest,DS
101-in-1 Sports Megamix,DS
Transformers: Devastation,PS3
Playmobil Pirates,DS
Zatch Bell! Mamodo Battles,PS2
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,PS3
Wildlife Park 3,PC
Get Fit with Mel B,Wii
Dream Day: Wedding Destinations,DS
Cloudy With a Chance of Meatballs,PSP
Iron Man / X-O Manowar in Heavy Metal,PS
Kamen Rider: Travelers Senki,3DS
Derby Stallion 98,SNES
Pimp My Ride: Street Racing,PS2
Pretty Rhythm: My Deco Rainbow Wedding,3DS
Robotron X,PS
Naruto Shippuden: Shinobi Rumble,DS
Martian Panic,Wii
J-League Winning Eleven 2009: Club Championship,PS2
Build 'n Race,Wii
Meitantei Conan & Kindaichi Shounen no Jikenbou: Meguri au Futari no Meitantei,DS
Guilty Gear Xrd -Revelator-,PS4
PoPoLoCrois (JP sales),PSP
Ken to Mahou to Gakuen Mono. 2,PSP
Kaijuu Busters Powered,DS
Initial D: Extreme Stage,PS3
Sushi Academy,DS
Gintama Gin-Oh Quest: Gin-San ga Tenshoku Shitari Sekai wo Sukuttari,DS
One Piece: Romance Dawn - Bouken no Yoake,3DS
I Am In The Movie,Wii
Zero: Tsukihami no Kamen,Wii
Generator Rex: Agent of Providence,Wii
"Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 2: Shinseiki Evangelion - Shito, Futatabi",DS
Transformers: Devastation,X360
Jikkyou Powerful Pro Yakyuu 15,Wii
DanceDanceRevolution,X360
Slayers Royal,PS
Pro Evolution Soccer 2008 (JP sales),DS
Murder in Venice,DS
Pretty Rhythm Rainbow Live: Kira Kira My * Design,3DS
The Hidden,3DS
DaGeDar,DS
Steins;Gate: Hiyoku Renri no Darling,X360
King's Field (Japan),PS
Slam 'n Jam '96 featuring Magic & Kareem,PS
Petz: Dogz Family,PSP
My English Coach: Para Hispanoparlantes,DS
ToraDora Portable!,PSP
Diva Girls: Divas on Ice,Wii
Kaidan Restaurant: Ura Menu 100-Sen,DS
Qubed,X360
R/C Stunt Copter,PS
Yamakawa Shuppansha Kanshuu: Shousetsu Sekaishi B,DS
Cartoon Network: Punch Time Explosion XL,Wii
Final Fantasy VI,PS
WSC Real 11: World Snooker Championship,PS3
Pop'n Music,Wii
Jikkyou Powerful Major League 2009,PS2
Uta no Prince-Sama: All Star After Secret,PSP
The Sims 3: Fast Lane Stuff,PC
Black/Matrix,SAT
My Friends,DS
Man vs. Wild,PS3
The King of Fighters '96,PS
NHL Breakaway 99,N64
Tony Hawk's Pro Skater 3,N64
Iggy's Reckin' Balls,N64
The Space Bar,SAT
Bust-A-Move 2 Arcade Edition,N64
Knife Edge: NoseGunner,N64
Wetrix,N64
EyeCreate,PS3
Princess in Love,DS
Pro Cycling Manager 2016,PS4
Sports Collection,DS
Captain Tsubasa: New Kick Off,DS
Kenshuui Tendo Dokuta,DS
Super Sentai Battle: Ranger Cross,Wii
The Sims 2: Ikea Home Stuff,PC
AKB1/149: Love Election,PS3
Pilot ni Narou! 2,PS2
Ken to Mahou to Gakuen Mono. Final: Shinnyusei wa Ohimesama,PSP
Sherlock Holmes: Crimes & Punishments,XOne
SingStar Apres-Ski Party 2,PS3
Samurai Shodown III,NG
Cabela's North American Adventures,PS2
Akiba's Trip Plus,PSP
Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,GBA
Little League World Series Baseball: Double Play,Wii
Kobitodzukan: Kobito no Fushigi - Jikken Set,3DS
Bakugan: Rise of the Resistance,DS
Famicom Mini: Star Soldier,GBA
Sentimental Graffiti 2,DC
Shonen Jump's One Piece: Pirates Carnival,GC
The Bachelor: The Videogame,DS
Doraemon: Nobita and the Island of Miracles,3DS
Gekijouban Madoka Magicka: The Battle Pentagram,PSV
Sentimental Graffiti: First Window,SAT
Cartoon Network Collection: Game Boy Advance Video Volume 2,GBA
Tempest 3X,PS
A-Train,PS
Pony Friends 2,Wii
Bleach: Erabareshi Tamashii,PS2
Sengoku Musou 3: Moushouden,Wii
Witches & Vampires: The Secrets of Ashburry,DS
Discovery Kids: Spider Quest,DS
Yuu Yuu Hakusho: Makyo Toitsusen,GEN
Ogre Battle Series: Tactics Ogre,PS
Ultimate Card Games DS,DS
Jillian Michaels Fitness Ultimatum 2010,DS
The $1 Pyramid,Wii
UEFA Euro 2016,PS3
Gintama: Gin-San to Issho! Boku no Kabuki Machi Nikki,PS2
Final Fantasy XI: Vana'diel Collection 2008,PS2
Drama Queens,DS
Wordfish,DS
Penny Racers Party: Turbo-Q Speedway,Wii
Skydiving Extreme,PS
Petz Fantasy: Sunshine Magic,DS
Motto! Stitch! DS Rhythm de Rakugaki Daisakusen,DS
Rapala Pro Bass Fishing 2010,PS2
Dungeon Travelers 2: The Royal Library & The Monster Seal,PSP
Horrid Henry's Horrid Adventure,DS
Striker 96,PS
Pocket Dogs,GBA
Tokimeki Memorial 4,PSP
Bleach: Heat the Soul 4,PSP
Dragon's Dogma Online,PS4
Real Robots Final Attack,PS
New International Track & Field,DS
P.N.03 - Product Number Three,GC
Boku no Natsuyasumi 3: Hokkoku Hen: Chiisana Boku no Dai Sougen​,PS3
Ape Escape: Pumped & Primed,PS2
FabStyle,DS
Medabots Dual: Kabuto / Kuwagata,3DS
Happy Feet Two,Wii
Adventure Time: Explore the Dungeon Because I Don't Know!,X360
LEGO Soccer Mania,GBA
Resident Evil Zero,XOne
ZhuZhu Babies,DS
Bleach: Heat the Soul 7,PSP
Nanashi no Game,DS
Diego's Build & Rescue,DS
Auto Destruct,PS
Dangerous Ji-San to 1000-nin no Otomodachi Yokoshima,3DS
GOTHA: Ismailia Seneki,SAT
Major League Baseball 2K12,DS
Zoo Tycoon (2013),X360
Deep Fear,SAT
Skeleton Warriors,PS
Ford vs. Chevy,XB
Criminal Girls: Invite Only,PSP
Just Dance: Disney Party 2,WiiU
Dreamer Series: Shop Owner,DS
Virus,SAT
Jikkyou Powerful Pro Yakyuu Next,Wii
The Sims 3: Barnacle Bay,PC
Dragon Shadow Spell,PS2
Dragon Slayer: The Legend of Heroes,GEN
Sound Novel Tsukuru,SNES
The Idolm@ster,X360
Momotarou Dentetsu 11,GC
Adventure Time: Finn & Jake Investigations,X360
Guilty Gear XX Slash,PS2
Mission Runway,DS
Super Robot Taisen Z Special Disc,PS2
Slayers Royal 2,SAT
Ultimate Party Challenge,Wii
Team Elimination Games,Wii
Whac-A-Mole,DS
Salon Superstar,DS
